No.,Time,Source,Destination,Protocol,Length,Info
1,0.000,192.168.56.5,192.168.56.10,TCP,74,SYN
2,0.005,192.168.56.10,192.168.56.5,TCP,74,SYN ACK
3,0.010,192.168.56.5,192.168.56.10,TCP,66,ACK
4,0.020,192.168.56.5,192.168.56.10,HTTP,256,GET / HTTP/1.1
5,1.500,192.168.56.5,192.168.56.10,HTTP,128,X-a: 1
6,3.000,192.168.56.5,192.168.56.10,HTTP,128,X-b: 2
7,4.500,192.168.56.5,192.168.56.10,HTTP,128,X-c: 3
8,6.000,192.168.56.5,192.168.56.10,HTTP,128,X-d: 4
9,7.500,192.168.56.5,192.168.56.10,HTTP,128,X-e: 5
10,9.000,192.168.56.5,192.168.56.10,HTTP,128,X-f: 6
11,0.010,192.168.56.5,192.168.56.10,TCP,74,SYN
12,0.015,192.168.56.10,192.168.56.5,TCP,74,SYN ACK
13,0.020,192.168.56.5,192.168.56.10,HTTP,256,GET / HTTP/1.1
14,2.000,192.168.56.5,192.168.56.10,HTTP,128,X-g: 7
15,4.000,192.168.56.5,192.168.56.10,HTTP,128,X-h: 8
16,0.030,192.168.56.5,192.168.56.10,TCP,74,SYN
17,0.035,192.168.56.10,192.168.56.5,TCP,74,SYN ACK
18,0.040,192.168.56.5,192.168.56.10,HTTP,256,GET / HTTP/1.1
19,3.500,192.168.56.5,192.168.56.10,HTTP,128,X-i: 9
20,5.500,192.168.56.5,192.168.56.10,HTTP,128,X-j: 10
